22-07-11 11:18:08.934 : Total parameters: 56.71
22-07-11 12:03:20.680 : Epoch[25/2000], Step[200/275], loss: 0.070, PSNR: 20.23
22-07-11 12:03:45.056 : Epoch[26/2000], Step[0/275], loss: 0.080, PSNR: 19.66
22-07-11 12:04:15.958 : Epoch[26/2000], Step[100/275], loss: 0.072, PSNR: 20.46
22-07-11 12:04:46.819 : Epoch[26/2000], Step[200/275], loss: 0.099, PSNR: 18.03
22-07-11 12:05:10.867 : Epoch[27/2000], Step[0/275], loss: 0.079, PSNR: 19.56
22-07-11 12:05:41.726 : Epoch[27/2000], Step[100/275], loss: 0.081, PSNR: 19.30
22-07-11 12:06:12.529 : Epoch[27/2000], Step[200/275], loss: 0.085, PSNR: 19.16
22-07-11 12:06:37.011 : Epoch[28/2000], Step[0/275], loss: 0.084, PSNR: 19.38
22-07-11 12:07:07.804 : Epoch[28/2000], Step[100/275], loss: 0.170, PSNR: 15.77
22-07-11 12:07:38.534 : Epoch[28/2000], Step[200/275], loss: 0.075, PSNR: 20.03
22-07-11 12:08:02.642 : Epoch[29/2000], Step[0/275], loss: 0.074, PSNR: 19.88
22-07-11 12:08:33.634 : Epoch[29/2000], Step[100/275], loss: 0.083, PSNR: 19.35
22-07-11 12:09:04.385 : Epoch[29/2000], Step[200/275], loss: 0.108, PSNR: 17.40
22-07-11 12:09:28.192 : Epoch[30/2000], Step[0/275], loss: 0.076, PSNR: 19.67
22-07-11 12:09:59.166 : Epoch[30/2000], Step[100/275], loss: 0.079, PSNR: 19.74
22-07-11 12:10:29.977 : Epoch[30/2000], Step[200/275], loss: 0.073, PSNR: 20.13
22-07-11 12:10:54.503 : Epoch[31/2000], Step[0/275], loss: 0.076, PSNR: 20.03
22-07-11 12:11:25.293 : Epoch[31/2000], Step[100/275], loss: 0.062, PSNR: 21.27
22-07-11 12:11:56.068 : Epoch[31/2000], Step[200/275], loss: 0.067, PSNR: 20.69
22-07-11 12:12:19.958 : Epoch[32/2000], Step[0/275], loss: 0.072, PSNR: 19.99
22-07-11 12:12:50.770 : Epoch[32/2000], Step[100/275], loss: 0.076, PSNR: 19.76
22-07-11 12:13:21.554 : Epoch[32/2000], Step[200/275], loss: 0.070, PSNR: 20.54
22-07-11 12:13:45.785 : Epoch[33/2000], Step[0/275], loss: 0.082, PSNR: 19.39
22-07-11 12:14:16.584 : Epoch[33/2000], Step[100/275], loss: 0.068, PSNR: 20.65
22-07-11 12:14:47.253 : Epoch[33/2000], Step[200/275], loss: 0.064, PSNR: 21.12
22-07-11 12:15:11.354 : Epoch[34/2000], Step[0/275], loss: 0.059, PSNR: 21.49
22-07-11 12:15:42.243 : Epoch[34/2000], Step[100/275], loss: 0.082, PSNR: 19.47
22-07-11 12:16:13.111 : Epoch[34/2000], Step[200/275], loss: 0.058, PSNR: 21.74
22-07-11 12:16:37.426 : Epoch[35/2000], Step[0/275], loss: 0.069, PSNR: 20.60
22-07-11 12:17:08.286 : Epoch[35/2000], Step[100/275], loss: 0.211, PSNR: 13.43
22-07-11 12:17:39.075 : Epoch[35/2000], Step[200/275], loss: 0.087, PSNR: 18.81
22-07-11 12:18:03.374 : Epoch[36/2000], Step[0/275], loss: 0.065, PSNR: 21.23
22-07-11 12:18:34.097 : Epoch[36/2000], Step[100/275], loss: 0.067, PSNR: 21.09
22-07-11 12:19:04.874 : Epoch[36/2000], Step[200/275], loss: 0.080, PSNR: 19.40
22-07-11 12:19:29.090 : Epoch[37/2000], Step[0/275], loss: 0.068, PSNR: 20.80
22-07-11 12:19:59.979 : Epoch[37/2000], Step[100/275], loss: 0.065, PSNR: 21.53
22-07-11 12:20:30.770 : Epoch[37/2000], Step[200/275], loss: 0.125, PSNR: 16.76
22-07-11 12:20:54.973 : Epoch[38/2000], Step[0/275], loss: 0.065, PSNR: 21.00
22-07-11 12:21:25.776 : Epoch[38/2000], Step[100/275], loss: 0.081, PSNR: 19.64
22-07-11 12:21:56.563 : Epoch[38/2000], Step[200/275], loss: 0.070, PSNR: 20.65
22-07-11 12:22:20.980 : Epoch[39/2000], Step[0/275], loss: 0.071, PSNR: 20.76
22-07-11 12:22:51.699 : Epoch[39/2000], Step[100/275], loss: 0.061, PSNR: 21.69
22-07-11 12:23:22.440 : Epoch[39/2000], Step[200/275], loss: 0.074, PSNR: 20.52
22-07-11 12:23:46.662 : Epoch[40/2000], Step[0/275], loss: 0.068, PSNR: 20.89
